x_min,x_max,ek_total,ek_var,ek_mean,ne_total,ne_mean,ne_var,ed_total,ed_mean,ed_var
17.3,18,1.8596861846535077e-08,1.4362753878455523e-27,4.508330144614564e-15,315371.14392683463,0.07645361064892961,0.10105735326105175,6.359586765721797e-09,1.5417180038113447e-15,7.407970279355573e-28
18,18.8,2.3588004975632243e-08,2.9160503473811747e-27,5.032107728134878e-15,335072.67452370585,0.07148217056505725,0.09475818118871168,8.056006708232963e-09,1.7186147644230321e-15,1.3170910102747185e-27
18.8,19.8,3.5033206715313785e-08,1.778128409123026e-27,6.027218359623877e-15,475526.37001065945,0.08181098838893065,0.10877917675211891,1.235168666825359e-08,2.1250213622801876e-15,9.282960839298587e-28
19.8,20.4,2.035831188938866e-08,1.7121988871875518e-27,5.714613863688045e-15,238384.10556136456,0.06691483664880409,0.08961765768906797,6.914336219146936e-09,1.9408663071289646e-15,8.578602339412084e-28
20.4,21.4,3.854989040381176e-08,1.3517352960872736e-27,6.6322392092579375e-15,496750.0931268614,0.08546238161322346,0.11589358594073818,1.4123827791580955e-08,2.4299058566160782e-15,7.640067959621732e-28
21.4,22.2,2.7600145997052583e-08,1.2108713330387174e-27,5.888031146037884e-15,403174.00239454996,0.08601045384417065,0.11865651230242451,1.063612680821438e-08,2.269040385752401e-15,7.576331293547236e-28
22.2,22.8,1.8469168490546865e-08,4.584430997355413e-28,5.184327997346488e-15,384762.87542015425,0.10800361415302576,0.1496338080191094,7.3119873116516045e-09,2.0524876664285206e-15,2.855441170154777e-28
22.8,23.7,2.481231939460692e-08,2.4403813764495874e-28,4.726156075163223e-15,702636.8266318835,0.13383558602512066,0.20403162138570935,1.1803104787108251e-08,2.248210435639667e-15,2.201597159577539e-28
23.7,24.8,1.9243203832484757e-08,2.1943061171761423e-28,2.9892355467937487e-15,372032.5146267555,0.05779145858279697,0.09243911887104914,8.961341951315709e-09,1.392053118650984e-15,1.7333614896942855e-28
24.8,25.8,2.614377425067765e-10,3.544270336761142e-31,4.4500041277749194e-17,19584.495784897812,0.0033335311974294147,0.00469549069211849,8.91067323844189e-11,1.516710338458194e-17,1.682976226401816e-31
