x_min,x_max,1e_width(um),z_left(um),z_right(um),total_density,ek_total_full,energy_variance_full,energy_mean_full,ek_total_1e,energy_variance_1e,energy_mean_1e,ne_total_full,ne_mean_full,ne_var_full,ne_total_1e,ne_mean_1e,ne_var_1e,ed_total_full,ed_mean_full,ed_var_full,ed_total_1e,ed_mean_1e,ed_var_1e
17.3,18,15.984,-7.992000000000001,7.991999999999999,5139542.455135143,4.861054754319151e-07,1.125704667165768e-27,7.365234476241137e-15,4.861054754319151e-07,1.125704667165768e-27,7.365234476241137e-15,5139542.455135137,0.07787185538083541,0.10255948014404193,5139542.455135137,0.07787185538083541,0.10255948014404193,1.6339722623603612e-07,2.4757155490308504e-15,5.377462427912956e-28,1.6339722623603612e-07,2.4757155490308504e-15,5.377462427912956e-28
18,18.8,15.984,-7.992000000000001,7.991999999999999,4552279.44798335,4.205221314841466e-07,9.109657252011767e-28,5.606961753121955e-15,4.205221314841466e-07,9.109657252011767e-28,5.606961753121955e-15,4552279.447983361,0.06069705930644481,0.07990885418171394,4552279.447983361,0.06069705930644481,0.07990885418171394,1.3703165523511017e-07,1.8270887364681357e-15,4.120148867576158e-28,1.3703165523511017e-07,1.8270887364681357e-15,4.120148867576158e-28
18.8,19.8,11.972004004004004,-7.992000000000001,3.9800040040040034,2770573.1068403726,3.0745045243059186e-07,6.755949013789783e-28,4.413776826888782e-15,2.3071282104927876e-07,6.91526007354986e-28,4.422065240588262e-15,3555328.5833015875,0.05104050681627959,0.06753205645679261,2770573.1068403814,0.05310348586847978,0.07030033915061035,9.959067247178286e-08,1.4297295673339773e-15,3.0942201398434302e-28,7.508520873139672e-08,1.4391557872828572e-15,3.207883919711803e-28
19.8,20.4,5.492980980980981,-2.0880000000000005,3.4049809809809806,376844.2666856148,7.383778057425521e-08,6.46236849354607e-28,3.765696683713546e-15,2.8834404315551125e-08,1.0260963328149543e-27,4.274833882994946e-15,914123.9142050135,0.046619946664882374,0.0618691168668434,376844.2666856157,0.05586890653992908,0.07458116415510091,2.3907895736793294e-08,1.2192929282330322e-15,3.010171326427695e-28,9.614517167977882e-09,1.4253966653350261e-15,5.068944823008166e-28
20.4,21.4,4.546306306306305,-2.3760000000000003,2.170306306306305,594540.6898361625,8.29169191109285e-08,4.815577476389657e-28,3.128350089074835e-15,4.4296049109564546e-08,1.1173013045768944e-27,5.863977880315802e-15,1152464.1175266996,0.043481008018362556,0.05869753902924688,594540.6898361625,0.07870619444013047,0.10652068965477848,2.8064499723817132e-08,1.0588379446827817e-15,2.453917510254172e-28,1.6016598574134858e-08,2.1203015087037346e-15,6.224099629161327e-28
21.4,22.2,5.774606606606606,-3.0640000000000005,2.7106066066066057,666091.3604699125,5.4314424736745514e-08,2.8723855617220203e-28,2.0060729357985415e-15,4.0175315853348384e-08,6.782318918131048e-28,4.110395700191413e-15,911063.0642430931,0.033649605327538065,0.04670164977998973,666091.3604699115,0.06814878752924564,0.09423783173442604,1.9426925607427372e-08,7.175226447803277e-16,1.6570758375820885e-28,1.5098354522299515e-08,1.5447348748909247e-15,4.122792314055771e-28
22.2,22.8,5.838414414414413,-3.0480000000000005,2.7904144144144127,611678.3807966609,3.3052871168788256e-08,1.2401467304533275e-28,1.5886984459883804e-15,2.884649972146674e-08,3.0489436041337164e-28,3.798678494891144e-15,715516.9196004907,0.03439158469601013,0.04859589643909284,611678.3807966602,0.0805494438964106,0.11158009042229826,1.2246612669428383e-08,5.886379557523857e-16,6.986563505268397e-29,1.0948780907691192e-08,1.4418005297318798e-15,1.7899443450524067e-28
22.8,23.7,4.849393393393393,-2.3600000000000003,2.4893933933933923,817769.2127518104,3.243367992485276e-08,6.622421934159216e-29,1.2701159118441714e-15,2.9381327222555685e-08,1.9526285884995864e-28,3.784817618490573e-15,909291.9820516282,0.03560823864550549,0.05575431605557841,817769.2127518101,0.10534266545679193,0.16053531073235122,1.4410994334712026e-08,5.64340316992169e-16,5.23555788935615e-29,1.3460428221311922e-08,1.7339334434606152e-15,1.6461464950046053e-28
23.7,24.8,3.8201721721721724,-1.8800000000000008,1.9401721721721716,359311.67705137795,2.0619182346567702e-08,6.09423364427401e-29,8.375993153742415e-16,1.868852310157131e-08,2.3444516737930853e-28,3.1764494994820756e-15,415265.8754607723,0.016869069157930384,0.02721765585930111,359311.67705137806,0.061071460303460404,0.09786424593210702,9.434877212498201e-09,3.8326673487826304e-16,4.659289327801489e-29,8.752115815048114e-09,1.4875789675312166e-15,1.8650611987902962e-28
24.8,25.8,1.738762762762762,-0.4880000000000007,1.2507627627627613,11104.705964502977,2.0317234973832677e-10,1.6111120003360834e-31,1.9829430971923364e-17,1.512052620076502e-10,1.117903685124814e-30,1.3538983394517816e-16,14951.156204650144,0.001459218837073018,0.0020558179612503937,11104.705964502975,0.009943200895138291,0.014026055253608729,6.938786826881167e-11,6.7721909300030906e-18,7.652137820796728e-32,5.2090566900380366e-11,4.664211489145047e-17,5.395528269303555e-31
